phase,trial_nr,key,time,img_l,img_r,reward,tot_reward
control,0,slash,1.0155249369854573,im_6002.jpg,im_5397.jpg,0.0,5.0
control,1,z,0.34285735100274906,im_6410.jpg,im_4117.jpg,0.0,5.0
control,2,slash,0.48876785597531125,im_4177.jpg,im_5197.jpg,0.0,5.0
control,3,z,0.30262829599087127,im_3583.jpg,im_212.jpg,0.0,5.0
control,4,slash,0.6173933990066871,im_5650.jpg,im_3137.jpg,0.0,5.0
learning,0,z,0.9383002549875528,images/im_3133.jpg,,0,5.0
learning,1,slash,0.5843521259957924,images/im_2722.jpg,,3,8.0
learning,2,z,0.6673205719853286,images/im_7302.jpg,,0,8.0
learning,3,slash,0.7722655090037733,images/im_4138.jpg,,0,8.0
learning,4,slash,0.6721037010138389,images/im_5438.jpg,,1,9.0
test,0,z,0.9622910929901991,im_3024.jpg,im_268.jpg,0.0,9.0
test,1,slash,0.8529192499991041,im_3572.jpg,im_3200.jpg,0.0,9.0
test,2,z,1.0681799199956004,im_8016.jpg,im_178.jpg,0.0,9.0
test,3,slash,1.1146641859959345,im_6744.jpg,im_6203.jpg,0.0,9.0
test,4,z,0.7923652739846148,im_522.jpg,im_541.jpg,0.0,9.0
